title,subtitle,link
BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
'CHEERS TO LOVE',Ronaldo & Georgina kiss after Wag denied claims he's 'fed up with her',https://www.thesun.co.uk/sport/22213436/cristiano-ronaldo-georgina-rodriguez-kiss-love-fed-up/
'PERFECT FOR SPURS',Richarlison has more yellows for celebrating goals than scoring them,https://www.thesun.co.uk/sport/22214998/tottenham-richarlison-yellow-cards-shirt-goal-celebration/
HATS OFF,Legendary Premier League boss looks unrecognisable in throwback pics,https://www.thesun.co.uk/sport/22212999/neil-warnock-manager-old-pictures-huddersfield/
BEING FRANK,Lampard claims he'd have won more titles if Abramovich didn't keep axing bosses,https://www.thesun.co.uk/sport/22220348/frank-lampard-chelsea-roman-abramovich/
ANT 'N WRECK,Fans claim Conte RIGHT to say Spurs players hate pressure after Liverpool loss,https://www.thesun.co.uk/sport/22211588/tottenham-liverpool-fans-antonio-conte-burst/
FEELING BLUE,Chelsea 'face staff exodus' if they push through firesale of homegrown stars,https://www.thesun.co.uk/sport/22214810/chelsea-staff-exodus-transfer-homegrown-mount/
GUNNER LEAVE,Arsenal fans say 'such a shame' with top talent set to go after eight years,https://www.thesun.co.uk/sport/22215349/arsenal-fans-transfer-charlie-patino-transfer/
'HERE WE GO',Man Utd fans go wild after Ten Hag's reaction to fan's crazy transfer demand,https://www.thesun.co.uk/sport/22215150/man-utd-transfer-news-ten-hag-summer/
INJURY WOES,Fulham stars Pereira & Ream out for rest of season with suspected broken limbs,https://www.thesun.co.uk/sport/22216896/fulham-news-pereira-ream-injured-season/
RED LITTLE DEVIL,Garnacho reveals Wag is expecting baby & reveals name in 'biggest dream',https://www.thesun.co.uk/sport/22211116/man-utd-alejandro-garnacho-baby-name/
ART OF THE DEAL,Arteta 'plans to lead Rice talks and believes he can convince star to join',https://www.thesun.co.uk/sport/22214476/mikel-arteta-declan-rice-transfer-talks-arsenal-west-ham/
JAV THAT,Leeds fans say 'it's gone from bad to worse' as Prem icon tipped to take over,https://www.thesun.co.uk/sport/22216151/leeds-premier-league-javi-gracia-lee-bowyer/
TELL ME MORE,I’m model & Man Utd star's sister but now I’m making my way as football agent,https://www.thesun.co.uk/sport/22197303/alex-telles-sister-model-football-agent/
MADD CHASE,"Man Utd, Newcastle and Spurs in £60m James Maddison battle with star 'to leave'",https://www.thesun.co.uk/sport/22212976/man-utd-newcastle-spurs-james-maddison-transfer-race-leicester/
CLAUSE FOR CONCERN,"Man Utd scout Abraham, but Roma demand Chelsea transfer clause is met",https://www.thesun.co.uk/sport/22212224/man-utd-tammy-abraham-transfer-roma/
MULL IT OVER,Chelsea join race for young keeper who has played just once for his club,https://www.thesun.co.uk/sport/22205379/chelsea-transfer-stephen-mcmullan-newcastle/
CALL UP,Plymouth keeper Burton in transfer battle as three Championship clubs eye move,https://www.thesun.co.uk/sport/football/22216315/plymouth-burton-championship-transfer-birmingham-cardiff/
MAN UTD LIVE,"United legend on Kane, Red Devils offered Dybala, Sir Jim Ratcliffe favourite",https://www.thesun.co.uk/sport/22071435/man-utd-news-live-harry-kane-dybala-transfer-takeover-latest/
ARSENAL LIVE,"Gunners keen on Mount, Balogun could depart, Charlie Patino buy-back clause",https://www.thesun.co.uk/sport/22071119/arsenal-news-live-mason-mount-balogun-patino-transfer-latest/
CHELSEA LIVE,Blues close in on Mauricio Pochettino as Boehly eyes FIFTH manager,https://www.thesun.co.uk/sport/22147005/chelsea-manager-news-live-mauricio-pochettino-frank-lampard-latest/
FREE IN FRANCE,Beaming Conte relaxes on Paris holiday as Tottenham fans say 'we miss you',https://www.thesun.co.uk/sport/22217939/antonio-conte-paris-holiday-family-tottenham/
WEE LION,"My brave son, 3, had foot amputated but now he's playing football for England",https://www.thesun.co.uk/sport/22218645/boy-foot-amputated-playing-football-england/
NO MOR,Former Chelsea assistant Jody Morris SACKED by Swindon after just three months,https://www.thesun.co.uk/sport/22217230/chelsea-manager-jody-morris-sacked-swindon/
SINK SO LOW,Coventry stadium's away toilets trashed by yobs with sinks ripped off walls,https://www.thesun.co.uk/sport/22214082/coventry-birmingham-away-toilets-fans/
SPITTING MAD,Shocking moment 'hospitality guest' spits at Celtic fan after Old Firm clash,https://www.thesun.co.uk/sport/22220154/shocking-moment-spits-celtic-fan-old-firm-rangers/
KARREN BRADY,ECA was created to appease the richest clubs after failed Super League,https://www.thesun.co.uk/sport/football/22200303/karren-brady-uefa-european-club-association/
TROY DEENEY,"Arsenal's defence blown away, but Holding gets most stick because he's English",https://www.thesun.co.uk/sport/22198774/arsenal-haaland-rob-holding-deeney/
DAVE KIDD,"Rodgers would be excellent next Spurs manager, but delusional fans could ruin it",https://www.thesun.co.uk/sport/22147434/brendan-rodgers-spurs-manager-fans/
RASH’S ALISHA AID,Rashford saved one of world’s sexiest footballers from mob of blokes,https://www.thesun.co.uk/sport/22204753/marcus-rashford-alisha-lehmann/
COR BLIMEY,Emma Louise Jones shares clip just moments before awkward wardrobe malfunction,https://www.thesun.co.uk/sport/22187761/emma-louise-jones-wardrobe-malfunction-clip-leicester/
JOAO ABOUT THAT?,Fans jealous of 'lucky' Joao Felix as his stunning Wag wows in lingerie,https://www.thesun.co.uk/sport/22194140/chelsea-joao-felix-wag-magui-corceiro-lingerie/
