title,subtitle,link
HATS OFF,Legendary Premier League boss looks unrecognisable in throwback pics,https://www.thesun.co.uk/sport/22212999/neil-warnock-manager-old-pictures-huddersfield/
INJURY WOES,Fulham stars Pereira & Ream out for rest of season with suspected broken limbs,https://www.thesun.co.uk/sport/22216896/fulham-news-pereira-ream-injured-season/
ANT 'N WRECK,Fans claim Conte RIGHT to say Spurs players hate pressure after Liverpool loss,https://www.thesun.co.uk/sport/22211588/tottenham-liverpool-fans-antonio-conte-burst/
STEP TOO FER,Fans convinced Sancho told Fernandes to 'stop moaning' in Villa row,https://www.thesun.co.uk/sport/22209152/jadon-sancho-bruno-fernandes-row-man-utd-aston-villa/
DRINK TO THAT,"I was crushed after 6-1 Liverpool loss, then woke up drunk & signed for them",https://www.thesun.co.uk/sport/22176104/caulker-crushed-liverpool-loss-drunk-signed/
RASH’S ALISHA AID,Rashford saved one of world’s sexiest footballers from mob of blokes,https://www.thesun.co.uk/sport/22204753/marcus-rashford-alisha-lehmann/
GAME OVER,"I'll never play for Man Utd again, Mason Greenwood tells pals",https://www.thesun.co.uk/sport/22198361/mason-greenwood-never-play-manchester-united-again/
RED LITTLE DEVIL,Garnacho reveals Wag is expecting baby & reveals name in 'biggest dream',https://www.thesun.co.uk/sport/22211116/man-utd-alejandro-garnacho-baby-name/
JUR FAULT,Klopp admits Chelsea struggles 'good to see' and vows not to make same mistakes,https://www.thesun.co.uk/sport/22208458/jurgen-klopp-chelsea-struggles-good-liverpool/
A BIG KANE-ING,Graeme Souness slams 'weak' Harry Kane after 'embarrassing' Sky interview,https://www.thesun.co.uk/sport/22208590/souness-slams-harry-kane-sky-interview-tottenham/
TELL ME MORE,I’m model & Man Utd star's sister but now I’m making my way as football agent,https://www.thesun.co.uk/sport/22197303/alex-telles-sister-model-football-agent/
MADD CHASE,"Man Utd, Newcastle and Spurs in £60m James Maddison battle with star 'to leave'",https://www.thesun.co.uk/sport/22212976/man-utd-newcastle-spurs-james-maddison-transfer-race-leicester/
CLAUSE FOR CONCERN,"Man Utd scout Abraham, but Roma demand Chelsea transfer clause is met",https://www.thesun.co.uk/sport/22212224/man-utd-tammy-abraham-transfer-roma/
MULL IT OVER,Chelsea join race for young keeper who has played just once for his club,https://www.thesun.co.uk/sport/22205379/chelsea-transfer-stephen-mcmullan-newcastle/
CALL UP,Plymouth keeper Burton in transfer battle as three Championship clubs eye move,https://www.thesun.co.uk/sport/football/22216315/plymouth-burton-championship-transfer-birmingham-cardiff/
MAN UTD LIVE,"Ten Hag wants a striker, Sir Jim Ratcliffe OUTBIDS Sheikh Jassim",https://www.thesun.co.uk/sport/22071435/man-utd-takeover-live-takeover-kane-transfer-marcus-rashford-exclusive-jim-ratcliffe-sheikh-jassim/
ARSENAL LIVE,"Wilfried Zaha TWIST Hammers 'eye' Declan Rice replacement, new kit LEAKED",https://www.thesun.co.uk/sport/22071119/arsenal-news-live-wilfried-zaha-declan-rice-new-kit-leaked/
CHELSEA LIVE,Blues close in on Mauricio Pochettino as Boehly eyes FIFTH manager,https://www.thesun.co.uk/sport/22147005/chelsea-manager-news-live-mauricio-pochettino-latest/
FIRESTARTER,Fan strolls around stand with CHAINSAW as riots leave stadium in flames,https://www.thesun.co.uk/sport/22212961/fan-chainsaw-riots-stadium-flames-champions-league/
COME OF AGE,Former Lazio teen who was caught up in age row leaves Italy after nine years,https://www.thesun.co.uk/sport/22216339/joseph-minala-lazio-teenager-age-transfer/
KIP SKIP,I'm a Wrexham star & got 20 mins of sleep on physio table at 6am after promotion,https://www.thesun.co.uk/sport/22217295/wrexham-sleep-promotion-party/
DREAM TICKET,Wubben-Moy is relishing Arsenal's sell-out game at the Emirates,https://www.thesun.co.uk/sport/22213697/lotte-wubben-moy-arsenal-wolfsburg-womens-champions-league/
LOTT LUCK,I won the World Cup and lottery - but my jackpot was less than two weeks' wages,https://www.thesun.co.uk/sport/22216548/xavi-lottery-world-cup-barcelona-wages/
KARREN BRADY,ECA was created to appease the richest clubs after failed Super League,https://www.thesun.co.uk/sport/football/22200303/karren-brady-uefa-european-club-association/
TROY DEENEY,"Arsenal's defence blown away, but Holding gets most stick because he's English",https://www.thesun.co.uk/sport/22198774/arsenal-haaland-rob-holding-deeney/
DAVE KIDD,"Rodgers would be excellent next Spurs manager, but delusional fans could ruin it",https://www.thesun.co.uk/sport/22147434/brendan-rodgers-spurs-manager-fans/
COR BLIMEY,Emma Louise Jones shares clip just moments before awkward wardrobe malfunction,https://www.thesun.co.uk/sport/22187761/emma-louise-jones-wardrobe-malfunction-clip-leicester/
JOAO ABOUT THAT?,Fans jealous of 'lucky' Joao Felix as his stunning Wag wows in lingerie,https://www.thesun.co.uk/sport/22194140/chelsea-joao-felix-wag-magui-corceiro-lingerie/
ELLE TO PAY,OnlyFans star Elle Brooke trolls Arsenal as she strips after Man City win,https://www.thesun.co.uk/sport/22175247/elle-brooke-trolls-arsenal-strips-man-city-shirt/
